epoch	train	val	solvent	solute
0.0	0.5631359073430352	0.5552340745925903	0.18506969511508942	2.3798916339874268
1.0	0.5385661786756117	0.537618100643158	0.17193159461021423	2.3240373134613037
2.0	0.5176037648787994	0.5204313397407532	0.15927545726299286	2.284403085708618
3.0	0.49661403456412645	0.49875515699386597	0.14819121360778809	2.2456588745117188
4.0	0.47442326610190666	0.47789275646209717	0.13698497414588928	2.2038004398345947
5.0	0.452457181850929	0.45426011085510254	0.12778136134147644	2.157301425933838
6.0	0.4300578042803478	0.43307948112487793	0.11923752725124359	2.1215624809265137
7.0	0.40694439600384424	0.41021159291267395	0.11094513535499573	2.077939033508301
8.0	0.38445189754658765	0.38432905077934265	0.104207843542099	2.0136301517486572
9.0	0.3616820183450653	0.36106783151626587	0.10219376534223557	1.9837149381637573
10.0	0.3404027848016648	0.337622731924057	0.09984742850065231	1.9320536851882935
11.0	0.32075891489144426	0.31576216220855713	0.10268154740333557	1.8789139986038208
12.0	0.30356462277923174	0.29949772357940674	0.09411069750785828	1.8226996660232544
13.0	0.289600706885381	0.2797032296657562	0.09365259110927582	1.7807469367980957
14.0	0.2754015291809405	0.26324185729026794	0.11409557610750198	1.7561149597167969
15.0	0.2627353729884951	0.24801498651504517	0.10535599291324615	1.7066916227340698
16.0	0.2511972486797604	0.23456311225891113	0.11206914484500885	1.6785087585449219
17.0	0.24027981665609585	0.22417433559894562	0.09423543512821198	1.6342412233352661
18.0	0.23195307903749532	0.21146735548973083	0.09962189942598343	1.6103800535202026
19.0	0.22132173977761602	0.20352861285209656	0.11536049842834473	1.6049394607543945
