epoch	train	val	solvent	solute
0.0	0.5988066368843092	0.6380878686904907	0.22763322293758392	2.500868082046509
1.0	0.5907521211421188	0.6298926472663879	0.22059422731399536	2.485826253890991
2.0	0.583635499518034	0.6227667331695557	0.21438489854335785	2.472210168838501
3.0	0.5769933973039899	0.6158599853515625	0.2082797884941101	2.4577958583831787
4.0	0.5703417538615411	0.6083259582519531	0.20192129909992218	2.4416487216949463
5.0	0.5633243962220064	0.6006932258605957	0.19621188938617706	2.4253735542297363
6.0	0.5564805075114506	0.5932198762893677	0.19060596823692322	2.4090840816497803
7.0	0.549684307001956	0.585961103439331	0.18564440310001373	2.392735481262207
8.0	0.5433698678843629	0.5792450308799744	0.18129102885723114	2.3764753341674805
9.0	0.5371975290431897	0.5727621912956238	0.17720387876033783	2.3607864379882812
10.0	0.5313052671366337	0.5661365389823914	0.17331823706626892	2.3451266288757324
11.0	0.5254371033073663	0.5597866773605347	0.16995805501937866	2.3282840251922607
12.0	0.5196015169030425	0.5534634590148926	0.16652081906795502	2.3105454444885254
13.0	0.5137251865716628	0.5469543933868408	0.16321326792240143	2.292509078979492
14.0	0.5078804317745722	0.5406451225280762	0.16010631620883942	2.2747855186462402
15.0	0.5019994379141133	0.5342602133750916	0.1572459489107132	2.255617380142212
16.0	0.49615153335669965	0.5280434489250183	0.1544022560119629	2.2379891872406006
17.0	0.49042455817866787	0.5215855836868286	0.15177300572395325	2.2189900875091553
18.0	0.48468173664503417	0.515449583530426	0.14911620318889618	2.20127534866333
19.0	0.479062702149801	0.5096055865287781	0.14659179747104645	2.1845123767852783
