Solvent	Name	nD	alpha	beta	gamma	epsilon	phi	psi
nitromethane	nitromethane	1.3817	0.060	0.310	52.58	36.562	0.000	0.000
n-nonane	nonane	1.4054	0.000	0.000	32.21	1.9605	0.000	0.000
1-nonanol	nonanol	1.4333	0.370	0.480	40.14	8.5991	0.000	0.000
n-octane	octane	1.3974	0.000	0.000	30.43	1.9406	0.000	0.000
1-octanol	octanol	1.4295	0.370	0.480	39.01	9.8629	0.000	0.000
o-dichlorobenzene	odichlorobenzene	1.5515	0.000	0.040	52.72	9.9949	0.750	0.250
o-nitrotoluene	onitrotoluene	1.5450	0.000	0.270	59.12	25.669	0.600	0.000
n-pentadecane	pentadecane	1.4315	0.000	0.000	38.34	2.0333	0.000	0.000
n-pentane	pentane	1.3575	0.000	0.000	22.3	1.8371	0.000	0.000
1-pentanol	pentanol	1.4101	0.370	0.480	36.5	15.13	0.000	0.000
perfluorobenzene	perfluorobenzene	1.3777	0.000	0.000	31.74	2.029	0.500	0.500
diphenylether	phenylether	1.5787	0.000	0.200	38.5	3.73	0.923	0.000
1-propanol	propanol	1.3850	0.370	0.480	33.57	20.524	0.000	0.000
pyridine	pyridine	1.5095	0.000	0.520	52.62	12.978	0.833	0.000
2-butanol	secbutanol	1.3978	0.330	0.560	32.44	15.944	0.000	0.000
sec-butylbenzene	secbutylbenzene	1.4895	0.000	0.160	40.35	2.3446	0.600	0.000
tert-butylbenzene	tbutylbenzene	1.4927	0.000	0.160	39.78	2.3447	0.600	0.000
tetrachloroethene	tetrachloroethene	1.5053	0.000	0.000	45.19	2.268	0.000	0.667
tetrahydrofuran	tetrahydrofuran	1.4050	0.000	0.480	39.44	7.4257	0.000	0.000
"tetrahydrothiophene-S,S-dioxide"	tetrahydrothiophenedioxide	1.4833	0.000	0.880	87.49	43.962	0.000	0.000
tetralin	tetralin	1.5413	0.000	0.190	47.74	2.771	0.600	0.000
toluene	toluene	1.4961	0.000	0.140	40.2	2.3741	0.857	0.000
tributylphosphate	tributylphosphate	1.4224	0.000	1.210	27.55	8.1781	0.000	0.000
triethylamine	triethylamine	1.4010	0.000	0.790	29.1	2.3832	0.000	0.000
"1,2,4-trimethylbenzene"	trimethylbenzene	1.5048	0.000	0.190	42.03	2.3653	0.667	0.000
n-undecane	undecane	1.4398	0.00	0.00	34.85	1.9910	0.000	0.000
water	water	1.3328	0.82	0.35	103.62	78.36	0.000	0.000
xylene (mixture)	xylene	1.4995	0.000	0.160	41.38	2.3879	0.750	0.000
